Sample_ID,Sample_ID2,Locality.ID,status,Order,Family,Subfamily,Genus,Species,Date,Day,Month,Year,Country,Geographic_Region,Lat,Lon,Collector,Det_by,comment,comment2,Wing_wear,Sex,ID_H,Lab_ID2_H,VeizerSIL_No,X87_86_Kr_Rb_corr_xc,X87_86_Kr_Rb_corr_xc_2SE,Sr_V,H_Weight_mg,Delta2H_permil,H_percent,Ampl_mV,Delta2H_permil_err
19M448,GTcoll19M448,21XI19A,meconium,Lepidoptera,Nymphalidae,Nymphalinae,Vanessa,cardui,21.XI.19,21,11,2019,Malta,Europe,36.076,14.25241,"Megan Reich, Gerard Talavera",,Breeding-Feeding,4 larvae in 3 min search on malva along coast. 4 adults feeding,1.5,,,,,,,,,,,,
19M450,GTcoll19M450,21XI19A,meconium,Lepidoptera,Nymphalidae,Nymphalinae,Vanessa,cardui,21.XI.19,21,11,2019,Malta,Europe,36.076,14.25241,"Megan Reich, Gerard Talavera",,Breeding-Feeding,4 larvae in 3 min search on malva along coast. 4 adults feeding,2.0,,,,,,,,,,,,
19M471,GTcoll19M471,21XI19B,meconium,Lepidoptera,Nymphalidae,Nymphalinae,Vanessa,cardui,21.XI.19,21,11,2019,Malta,Europe,36.07901,14.25009,"Megan Reich, Gerard Talavera",,Feeding,25 adults caught feeding on flowers. No larvae seen,1.5,,,,,,,,,,,,
19M359,GTcoll19M359,18XI19A,meconium,Lepidoptera,Nymphalidae,Nymphalinae,Vanessa,cardui,18.XI.19,18,11,2019,Malta,Europe,35.93002,14.40412,"Megan Reich, Gerard Talavera",,,,2.0,,,,,,,,,,,,
19M460,GTcoll19M460,21XI19B,meconium,Lepidoptera,Nymphalidae,Nymphalinae,Vanessa,cardui,21.XI.19,21,11,2019,Malta,Europe,36.07901,14.25009,"Megan Reich, Gerard Talavera",,Feeding,25 adults caught feeding on flowers. No larvae seen,2.0,,,,,,,,,,,,
18B720,GTcoll18B720,13IX18B,long-distance,Lepidoptera,Nymphalidae,Nymphalinae,Vanessa,cardui,13.IX.2018,13,9,2018,Senegal,Africa,13.97696,-14.54356,"T. Suchan, M. Menchetti, G. Talavera",,,,2.5,F,Vc37,G-38281,B2122-508-042,0.714378,8.50E-05,0.4,0.165,-100,6.24,3785,2
18B721,GTcoll18B721,13IX18B,long-distance,Lepidoptera,Nymphalidae,Nymphalinae,Vanessa,cardui,13.IX.2018,13,9,2018,Senegal,Africa,13.97696,-14.54356,"T. Suchan, M. Menchetti, G. Talavera",,,,2.0,M,Vc34,G-38278,B2122-508-039,0.71522,4.60E-05,1.3,0.162,-109,6.23,3729,2
18B773,GTcoll18B773,23IX18A,long-distance,Lepidoptera,Nymphalidae,Nymphalinae,Vanessa,cardui,23.IX.2018,23,9,2018,Benin,Africa,11.74402,3.27634,"R. Vila, T. Suchan, M. Menchetti, G. Talavera",,,,5.0,M,Vc28,G-38271,B2122-508-032,0.712984,9.00E-05,0.4,0.158,-84,6.31,3700,2
19H116,GTcoll19H116,,long-distance,Lepidoptera,Nymphalidae,Nymphalinae,Vanessa,cardui,29.IX.2019,29,9,2019,Senegal,Africa,14.70977,-17.12479,Khadim Khebe,,,,2.0,F,Vc23,G-38265,B2122-508-026,0.709709,2.40E-05,2.3,0.161,-81,6.35,3813,2
19H128,GTcoll19H128,,long-distance,Lepidoptera,Nymphalidae,Nymphalinae,Vanessa,cardui,15.IX.2019,15,9,2019,Benin,Africa,10.7275,1.38032,Farid Bahleman,Farid Bahleman,Hilltopping,,4.0,F,Vc35,G-38279,B2122-508-040,0.726131,5.80E-05,1,0.159,-83,6.32,3713,2
