Sample	Sex
GTcoll23A325	M
GTcoll23A329	F
GTcoll23A305	F
GTcoll23A311	M
GTcoll23A433	F
GTcoll23A441	F
GTcoll23A321	M
GTcoll23A326	M
GTcoll23A303	M
GTcoll23A300	M
GTcoll23A443	F
GTcoll23A436	F
GTcoll23A324	M
GTcoll23A330	M
GTcoll23A332	F
GTcoll23A308	F
GTcoll23A313	M
GTcoll23A316	F
GTcoll23A334	F
GTcoll23A338	M
GTcoll23A312	M
GTcoll23A315	F
GTcoll23A428	F
GTcoll23A442	M
GTcoll23A327	M
GTcoll23A335	M
GTcoll23A306	F
GTcoll23A317	F
GTcoll23A423	M
GTcoll23A429	F
GTcoll23A424	F
GTcoll23A431	M
GTcoll23A434	M
GTcoll23A440	M
GTcoll23A319	F
GTcoll19M448	M
GTcoll19M450	F
GTcoll19M471	M
GTcoll19M359	F
GTcoll19M460	M
GTcoll18B720	F
GTcoll18B721	M
GTcoll18B773	M
GTcoll19H116	F
GTcoll19H128	F
LI12	F
LI14	F
LI16	F
AL3	F
AL9	F
AL11	F
HDAL-X1	F
HDAL-X3	F
HDAL-X18	F
HDLI-XI	F
HDLI-X3	F
HDLI-X18	F
LDAL-X1	F
LDAL-X3	F
LDAL-X18	F
LDAL-X1b	M
LDAL-X3b	M
LDAL-X18b	M
